service_id,date,exception_type
OH_C1-Weekday-SDon-BM,20210823,2
OH_C1-Weekday-SDon,20210825,2
OH_C1-Weekday-SDon-BM,20210824,2
OH_C1-Weekday-SDon,20210826,2
OH_C1-Weekday-SDon-BM,20210825,2
OH_C1-Weekday-SDon,20210827,2
OH_C1-Weekday-SDon-BM,20210826,2
OH_C1-Weekday-SDon,20210830,2
OH_C1-Weekday-SDon-BM,20210829,2
OH_C1-Weekday-SDon,20210831,2
OH_C1-Weekday-SDon-BM,20210830,2
OH_C1-Weekday-SDon,20210901,2
OH_C1-Weekday-SDon-BM,20210831,2
OH_C1-Weekday-SDon,20210902,2
OH_C1-Weekday-SDon-BM,20210901,2
OH_C1-Weekday-SDon,20210903,2
OH_C1-Weekday-SDon-BM,20210902,2
OH_C1-Weekday,20210628,1
OH_C1-Weekday-BM,20210627,1
OH_C1-Weekday,20210629,1
OH_C1-Weekday-BM,20210628,1
OH_C1-Weekday,20210630,1
OH_C1-Weekday-BM,20210629,1
OH_C1-Weekday,20210701,1
OH_C1-Weekday-BM,20210630,1
OH_C1-Weekday,20210702,1
OH_C1-Weekday-BM,20210701,1
OH_C1-Weekday,20210720,1
OH_C1-Weekday-BM,20210719,1
OH_C1-Weekday,20210816,1
OH_C1-Weekday-BM,20210815,1
OH_C1-Weekday,20210817,1
OH_C1-Weekday-BM,20210816,1
OH_C1-Weekday,20210818,1
OH_C1-Weekday-BM,20210817,1
OH_C1-Weekday,20210819,1
OH_C1-Weekday-BM,20210818,1
OH_C1-Weekday,20210820,1
OH_C1-Weekday-BM,20210819,1
OH_C1-Weekday,20210823,1
OH_C1-Weekday-BM,20210822,1
OH_C1-Weekday,20210824,1
OH_C1-Weekday-BM,20210823,1
OH_C1-Weekday,20210825,1
OH_C1-Weekday-BM,20210824,1
OH_C1-Weekday,20210826,1
OH_C1-Weekday-BM,20210825,1
OH_C1-Weekday,20210827,1
OH_C1-Weekday-BM,20210826,1
OH_C1-Weekday,20210830,1
OH_C1-Weekday-BM,20210829,1
OH_C1-Weekday,20210831,1
OH_C1-Weekday-BM,20210830,1
OH_C1-Weekday,20210901,1
OH_C1-Weekday-BM,20210831,1
OH_C1-Weekday,20210902,1
OH_C1-Weekday-BM,20210901,1
OH_C1-Weekday,20210903,1
OH_C1-Weekday-BM,20210902,1
OH_C1-Saturday,20210705,1
OH_C1-Saturday-BM,20210704,1
